fail00002prob,565.685424949238,2
fail00004prob,565.685424949238,0
rand00010prob,1471.6987914639976,1
rand00020prob,2374.6424304000097,1
rand00030prob,3251.0923697307376,2
rand00040prob,3393.0560346062803,3
rand00050prob,4687.667412136861,5
rand00060prob,5063.762093016579,6
rand00070prob,5049.642291332578,7
rand00080prob,6218.19630915407,9
rand00090prob,6909.976735751263,15
rand00100prob,7529.260751956945,21
rand00200prob,12968.04502585082,47
rand00300prob,16958.396105191903,423
rand00400prob,22644.61293497496,506
rand00500prob,27996.141660154215,411
rand00600prob,33416.34138440088,641
rand00700prob,37265.69270976111,892
rand00800prob,42246.390958001146,1422
rand00900prob,48802.412436931794,1937
rand01000prob,51398.86416175545,2714
